LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUS;EXCH;TOT;NATUSD;A;2021;1.331224;
AUT;EXCH;TOT;NATUSD;A;2021;0.845494;
BEL;EXCH;TOT;NATUSD;A;2021;0.845494;
CAN;EXCH;TOT;NATUSD;A;2021;1.253877;
CZE;EXCH;TOT;NATUSD;A;2021;21.678167;
DNK;EXCH;TOT;NATUSD;A;2021;6.287113;
FIN;EXCH;TOT;NATUSD;A;2021;0.845494;
FRA;EXCH;TOT;NATUSD;A;2021;0.845494;
DEU;EXCH;TOT;NATUSD;A;2021;0.845494;
GRC;EXCH;TOT;NATUSD;A;2021;0.845494;
HUN;EXCH;TOT;NATUSD;A;2021;303.140833;
ISL;EXCH;TOT;NATUSD;A;2021;126.98886;
IRL;EXCH;TOT;NATUSD;A;2021;0.845494;
ITA;EXCH;TOT;NATUSD;A;2021;0.845494;
JPN;EXCH;TOT;NATUSD;A;2021;109.754324;
KOR;EXCH;TOT;NATUSD;A;2021;1143.958333;
LUX;EXCH;TOT;NATUSD;A;2021;0.845494;
MEX;EXCH;TOT;NATUSD;A;2021;20.272408;
NLD;EXCH;TOT;NATUSD;A;2021;0.845494;
NZL;EXCH;TOT;NATUSD;A;2021;1.4138;
NOR;EXCH;TOT;NATUSD;A;2021;8.59;
POL;EXCH;TOT;NATUSD;A;2021;3.861917;
PRT;EXCH;TOT;NATUSD;A;2021;0.845494;
SVK;EXCH;TOT;NATUSD;A;2021;0.845494;
ESP;EXCH;TOT;NATUSD;A;2021;0.845494;
SWE;EXCH;TOT;NATUSD;A;2021;8.576567;
CHE;EXCH;TOT;NATUSD;A;2021;0.913846;
TUR;EXCH;TOT;NATUSD;A;2021;8.850408;
GBR;EXCH;TOT;NATUSD;A;2021;0.727065;
USA;EXCH;TOT;NATUSD;A;2021;1;
BRA;EXCH;TOT;NATUSD;A;2021;5.394401;
CHL;EXCH;TOT;NATUSD;A;2021;758.955379;
CHN;EXCH;TOT;NATUSD;A;2021;6.448975;
COL;EXCH;TOT;NATUSD;A;2021;3743.589819;
EST;EXCH;TOT;NATUSD;A;2021;0.845494;
IND;EXCH;TOT;NATUSD;A;2021;73.918013;
IDN;EXCH;TOT;NATUSD;A;2021;14308.143901;
ISR;EXCH;TOT;NATUSD;A;2021;3.230198;
RUS;EXCH;TOT;NATUSD;A;2021;73.65435;
SVN;EXCH;TOT;NATUSD;A;2021;0.845494;
ZAF;EXCH;TOT;NATUSD;A;2021;14.778678;
LVA;EXCH;TOT;NATUSD;A;2021;0.845494;
LTU;EXCH;TOT;NATUSD;A;2021;0.845494;
SAU;EXCH;TOT;NATUSD;A;2021;3.75;
EA19;EXCH;TOT;NATUSD;A;2021;0.845494;
ARG;EXCH;TOT;NATUSD;A;2021;94.990742;
CRI;EXCH;TOT;NATUSD;A;2021;620.78472;
BGR;EXCH;TOT;NATUSD;A;2021;1.653775;
HRV;EXCH;TOT;NATUSD;A;2021;6.360083;
CYP;EXCH;TOT;NATUSD;A;2021;0.845494;
MLT;EXCH;TOT;NATUSD;A;2021;0.845494;
ROU;EXCH;TOT;NATUSD;A;2021;4.160417;
MKD;EXCH;TOT;NATUSD;A;2021;52.102158;
MDG;EXCH;TOT;NATUSD;A;2021;3829.977849;
MAR;EXCH;TOT;NATUSD;A;2021;8.988484;
ZMB;EXCH;TOT;NATUSD;A;2021;20.018487;
SRB;EXCH;TOT;NATUSD;A;2021;99.395942;
HKG;EXCH;TOT;NATUSD;A;2021;7.77325;
EU27_2020;EXCH;TOT;NATUSD;A;2021;0.845494;
ALB;EXCH;TOT;NATUSD;A;2021;103.52;
SGP;EXCH;TOT;NATUSD;A;2021;1.343483;
GEO;EXCH;TOT;NATUSD;A;2021;3.221558;
CMR;EXCH;TOT;NATUSD;A;2021;554.530675;
SEN;EXCH;TOT;NATUSD;A;2021;554.530675;
